Ticker
BTC-USD
ETH-USD
BNB-USD
USDT-USD
SOL-USD
AAPL
FB
AMZN
XRP-USD
LUNA1-USD
DOT-USD
MSFT
DOGE-USD
SHIB-USD
ADA-USD
BUSD-USD
LINK-USD
TSLA
GOOGL
MATIC-USD
UNI1-USD
LTC-USD
